gender,name,origin,meaning
M,Abadjon,Arabcha,"Mangu, cheksiz, abadiy, umri uzoq"
M,Abay,o‘zbekcha,"Hushyor, ehtiyotkor yoki himoya, muhofaza qilingan"
M,Abbos,Arabcha,"Aynan: qovog‘i soliq, badjahl, beshafqat yoki dovyurak, jangovar. Muhammad payg‘ambar tog‘asining nomi"
M,Abdi,Arabcha,"Qul, banda. Shu so‘z bilan boshlanadigan ko‘pgina qo‘shma ismlarning qisqargan shakli"
M,Abdu,Arabcha,"Qul, banda. Shu so‘z bilan boshlanadigan ko‘pgina qo‘shma ismlarning qisqargan shakli"
M,Abdol,Arabcha,"Toat-ibodat qiluvchi; avliyolar, valilar, qalandar, devona yoki abdol urug‘igan mansub bola"
M,Abdolniyoz,"Arabcha, fors-tojikcha","Avliyolar, valilar sovg‘asi, tuhfasi"
M,Abduaziz,Arabcha,"Izzat va e’zoz sohibining, yani Allohning quli"
M,Abdulaziz,Arabcha,"Izzat va e’zoz sohibining, yani Allohning quli"
M,Abduazim,Arabcha,"Ulug‘,  buyukning,  ya’ni Allohning quli"
M,Abduali,Arabcha,"Oliy martabali, buyukning, ya’ni Allohning quli"
M,Abdualim,Arabcha,"Bilim va donolik sohibining, ya’ni Allohning quli"
M,Abduahad,Arabcha,"Yolg‘izning, yakkayu-yagonaning, ya’ni Allohning quli"
M,Abdubashar,Arabcha,Insonlar (insoniyat)ning xizmatkori quli
M,Abdubois,Arabcha,"Qaytadan hayot baxsh eta oluvchining, ya’ni Allohning quli"
M,Abduboriy,Arabcha,"Yaratuvchi, hal etuvchining, ya’ni Allohning quli"
M,Abdubosit,Arabcha,"Rizq ato etuvchining, ruh baxsh etuvchining, ya’ni Allohning quli"
M,Abdubotir,"Arabcha, o‘zbekcha","Qo‘rqmas, dovyurakning quli"
M,Abduboqi,Arabcha,"Doimiy va abadiy mavjudodning, ya’ni Allohning quli"
M,Abduvakil,Arabcha,"Ishonch egasi, vakil qilinganning quli. Muhammad payg‘ambarning sifatlaridan biri"
M,Abduvali,Arabcha,"Madadkor va homiyning, ya’ni Allohning quli"
M,Abduvafo,Arabcha,"Sadoqatli va itoatlining, sodiqning quli"
M,Abduvaqqos,Arabcha,Itoatkorning quli
M,Abduvahhob,Arabcha,"o‘z ne’matlarini tekin ato etuvchining, yani Allohning quli"
M,Abduvoris,Arabcha,"Barcha shuning oldida boruvchining, borliqni meros qilib oluvchining, ya’ni Allohning quli"
M,Abduvosi,Arabcha,"Mulki, pahmati va qudrati kengning, ya’ni Allohning quli"
M,Abduvosiq,Arabcha,"Mulki, pahmati va qudrati kengning, ya’ni Allohning quli"
M,Abvduvosid,Arabcha,"Hamma narsaning markazi, negizida turuvchining, ya’ni Allohning quli"
M,Abduvosil,Arabcha,Aynan: Allohning roziligi va diydoriga etushtiruvchining quli. Muhammad (sav)ning sifatlaridan biri (qar.Vosil)
M,Abduvohid,Arabcha,"Yakkayu-yagonaning, ya’ni Allohning quli"
M,Abdujabbor,Arabcha,"Bandalari ishini isloh qilib jabrlovchining quli, kuch-qudrat sohibining, ya’ni Allohning quli"
M,Abdujalil,Arabcha,"Mukammal va ulug‘ zotning, ya’ni Allohning quli"
M,Abdujalol,Arabcha,"Buyuk va ulug‘vor, shonu shuhratlining, ya’ni Allohning quli"
M,Abdujamil,Arabcha,"Borliq egasining, mehru muruvatli, sahiy, go‘zallik va kamolot sohibining, ya’ni Allohning quli"
M,Abdujamol,Arabcha,"Go‘zallik, nafosat sohibining quli"
M,Abduzafar,Arabcha,"Yengilmas, g‘olibning quli"
M,Abduzoir,Arabcha,Qar. Abduzohir
M,Abduzohid,Arabcha,"Xudojoy, taqvodorning, aliyoning quli"
M,Abduzohir,Arabcha,"Mavjudligi har tomonlama aniq va ayon bo‘lgan zotning, ya’ni Allohning quli"
M,Abduzunnun,Arabcha,Aynan: baliq egasi. Yunus payg‘ambarning laqabi (qar. Yunus)
M,Abdukabir,Arabcha,"Barcha sohada ulug‘ va tengsizning, ya’ni Allohning quli"
M,Abdukamol,Arabcha,"Yetuklik, kamolot sohibining, ya’ni Allohning quli"
M,Abdukarim,Arabcha,"Karamli, saxovatli kechirimlining, ya’ni Allohning quli"
M,Abdukomil,Arabcha,"Yetuklik, kamolot egasining quli. Komil-Muhammad payg‘ambarning sifatlaridan biri (qar.Komil)"
M,Abdulazal,Arabcha,"o‘ta qadimiy, cheksizning quli"
M,Abdulali,Arabcha,Qar.Abduali
M,Abdulamin,Arabcha,"Ishonganning, muhofazakorning, e’tiqodlining quli"
M,Abdulatif,Arabcha,"Marhamatli, iltifotli va mehribonning, ya’ni Allohning quli"
M,Abdulahad,Arabcha,Qar. Abduahad
M,Abdulbasir,Arabcha,"Sezgir, ziyrak, nigohi o‘tkirning, ya’ni hamma maxfiy va oshkora narsalarni ko‘ruvchi Allohning quli"
M,Abdulbori,Arabcha,Qar. Abdubori
M,Abdulbosit,Arabcha,Qar. Abdubosit
M,Abdulboqi,Arabcha,Qar. Abduboqi
M,Abdulvojid,Arabcha,"Xohlagan narsani topuvchi va yaratuvchining, ya’ni Allohning quli"
